state_fips,state,state_abbr,zipcode,county,city,url
1,Alabama,AL,35004,St. Clair,Acmar,https://www.countyhealthrankings.org/app/alabama/2021/rankings/st-clair/county/outcomes/overall/snapshot
1,Alabama,AL,35005,Jefferson,Adamsville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/jefferson/county/outcomes/overall/snapshot
1,Alabama,AL,35007,Shelby,Keystone,https://www.countyhealthrankings.org/app/alabama/2021/rankings/shelby/county/outcomes/overall/snapshot
1,Alabama,AL,35010,Tallapoosa,New site,https://www.countyhealthrankings.org/app/alabama/2021/rankings/tallapoosa/county/outcomes/overall/snapshot
1,Alabama,AL,35014,Talladega,Alpine,https://www.countyhealthrankings.org/app/alabama/2021/rankings/talladega/county/outcomes/overall/snapshot
1,Alabama,AL,35016,Marshall,Arab,https://www.countyhealthrankings.org/app/alabama/2021/rankings/marshall/county/outcomes/overall/snapshot
1,Alabama,AL,35019,Cullman,Baileyton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/cullman/county/outcomes/overall/snapshot
1,Alabama,AL,35031,Blount,Blountsville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/blount/county/outcomes/overall/snapshot
1,Alabama,AL,35034,Bibb,Brent,https://www.countyhealthrankings.org/app/alabama/2021/rankings/bibb/county/outcomes/overall/snapshot
1,Alabama,AL,35045,Chilton,Clanton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/chilton/county/outcomes/overall/snapshot
1,Alabama,AL,35063,Walker,Empire,https://www.countyhealthrankings.org/app/alabama/2021/rankings/walker/county/outcomes/overall/snapshot
1,Alabama,AL,35072,Coosa,Goodwater,https://www.countyhealthrankings.org/app/alabama/2021/rankings/coosa/county/outcomes/overall/snapshot
1,Alabama,AL,35082,Clay,Hollins,https://www.countyhealthrankings.org/app/alabama/2021/rankings/clay/county/outcomes/overall/snapshot
1,Alabama,AL,35111,Tuscaloosa,Mc calla,https://www.countyhealthrankings.org/app/alabama/2021/rankings/tuscaloosa/county/outcomes/overall/snapshot
1,Alabama,AL,35441,Hale,Stewart,https://www.countyhealthrankings.org/app/alabama/2021/rankings/hale/county/outcomes/overall/snapshot
1,Alabama,AL,35442,Pickens,Aliceville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/pickens/county/outcomes/overall/snapshot
1,Alabama,AL,35443,Greene,Boligee,https://www.countyhealthrankings.org/app/alabama/2021/rankings/greene/county/outcomes/overall/snapshot
1,Alabama,AL,35459,Sumter,Emelle,https://www.countyhealthrankings.org/app/alabama/2021/rankings/sumter/county/outcomes/overall/snapshot
1,Alabama,AL,35540,Winston,Addison,https://www.countyhealthrankings.org/app/alabama/2021/rankings/winston/county/outcomes/overall/snapshot
1,Alabama,AL,35542,Fayette,Bankston,https://www.countyhealthrankings.org/app/alabama/2021/rankings/fayette/county/outcomes/overall/snapshot
1,Alabama,AL,35543,Marion,Bear creek,https://www.countyhealthrankings.org/app/alabama/2021/rankings/marion/county/outcomes/overall/snapshot
1,Alabama,AL,35544,Lamar,Beaverton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/lamar/county/outcomes/overall/snapshot
1,Alabama,AL,35571,Franklin,Hodges,https://www.countyhealthrankings.org/app/alabama/2021/rankings/franklin/county/outcomes/overall/snapshot
1,Alabama,AL,35601,Morgan,Decatur,https://www.countyhealthrankings.org/app/alabama/2021/rankings/morgan/county/outcomes/overall/snapshot
1,Alabama,AL,35610,Lauderdale,Anderson,https://www.countyhealthrankings.org/app/alabama/2021/rankings/lauderdale/county/outcomes/overall/snapshot
1,Alabama,AL,35611,Limestone,Athens,https://www.countyhealthrankings.org/app/alabama/2021/rankings/limestone/county/outcomes/overall/snapshot
1,Alabama,AL,35616,Colbert,Cherokee,https://www.countyhealthrankings.org/app/alabama/2021/rankings/colbert/county/outcomes/overall/snapshot
1,Alabama,AL,35740,Jackson,Bridgeport,https://www.countyhealthrankings.org/app/alabama/2021/rankings/jackson/county/outcomes/overall/snapshot
1,Alabama,AL,35741,Madison,Brownsboro,https://www.countyhealthrankings.org/app/alabama/2021/rankings/madison/county/outcomes/overall/snapshot
1,Alabama,AL,35901,Etowah,Southside,https://www.countyhealthrankings.org/app/alabama/2021/rankings/etowah/county/outcomes/overall/snapshot
1,Alabama,AL,35959,Cherokee,Cedar bluff,https://www.countyhealthrankings.org/app/alabama/2021/rankings/cherokee/county/outcomes/overall/snapshot
1,Alabama,AL,35961,DeKalb,Collinsville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/dekalb/county/outcomes/overall/snapshot
1,Alabama,AL,36003,Autauga,Autaugaville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/autauga/county/outcomes/overall/snapshot
1,Alabama,AL,36005,Pike,Banks,https://www.countyhealthrankings.org/app/alabama/2021/rankings/pike/county/outcomes/overall/snapshot
1,Alabama,AL,36009,Crenshaw,Brantley,https://www.countyhealthrankings.org/app/alabama/2021/rankings/crenshaw/county/outcomes/overall/snapshot
1,Alabama,AL,36013,Montgomery,Cecil,https://www.countyhealthrankings.org/app/alabama/2021/rankings/montgomery/county/outcomes/overall/snapshot
1,Alabama,AL,36016,Barbour,Clayton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/barbour/county/outcomes/overall/snapshot
1,Alabama,AL,36020,Elmore,Coosada,https://www.countyhealthrankings.org/app/alabama/2021/rankings/elmore/county/outcomes/overall/snapshot
1,Alabama,AL,36028,Covington,Dozier,https://www.countyhealthrankings.org/app/alabama/2021/rankings/covington/county/outcomes/overall/snapshot
1,Alabama,AL,36029,Bullock,Fitzpatrick,https://www.countyhealthrankings.org/app/alabama/2021/rankings/bullock/county/outcomes/overall/snapshot
1,Alabama,AL,36030,Butler,Forest home,https://www.countyhealthrankings.org/app/alabama/2021/rankings/butler/county/outcomes/overall/snapshot
1,Alabama,AL,36031,Macon,Fort davis,https://www.countyhealthrankings.org/app/alabama/2021/rankings/macon/county/outcomes/overall/snapshot
1,Alabama,AL,36032,Lowndes,Fort deposit,https://www.countyhealthrankings.org/app/alabama/2021/rankings/lowndes/county/outcomes/overall/snapshot
1,Alabama,AL,36201,Calhoun,Anniston,https://www.countyhealthrankings.org/app/alabama/2021/rankings/calhoun/county/outcomes/overall/snapshot
1,Alabama,AL,36262,Cleburne,Fruithurst,https://www.countyhealthrankings.org/app/alabama/2021/rankings/cleburne/county/outcomes/overall/snapshot
1,Alabama,AL,36263,Randolph,Graham,https://www.countyhealthrankings.org/app/alabama/2021/rankings/randolph/county/outcomes/overall/snapshot
1,Alabama,AL,36301,Houston,Taylor,https://www.countyhealthrankings.org/app/alabama/2021/rankings/houston/county/outcomes/overall/snapshot
1,Alabama,AL,36310,Henry,Abbeville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/henry/county/outcomes/overall/snapshot
1,Alabama,AL,36311,Dale,Ariton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/dale/county/outcomes/overall/snapshot
1,Alabama,AL,36313,Geneva,Bellwood,https://www.countyhealthrankings.org/app/alabama/2021/rankings/geneva/county/outcomes/overall/snapshot
1,Alabama,AL,36323,Coffee,Elba,https://www.countyhealthrankings.org/app/alabama/2021/rankings/coffee/county/outcomes/overall/snapshot
1,Alabama,AL,36401,Conecuh,Evergreen,https://www.countyhealthrankings.org/app/alabama/2021/rankings/conecuh/county/outcomes/overall/snapshot
1,Alabama,AL,36425,Monroe,Beatrice,https://www.countyhealthrankings.org/app/alabama/2021/rankings/monroe/county/outcomes/overall/snapshot
1,Alabama,AL,36426,Escambia,East brewton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/escambia/county/outcomes/overall/snapshot
1,Alabama,AL,36435,Wilcox,Coy,https://www.countyhealthrankings.org/app/alabama/2021/rankings/wilcox/county/outcomes/overall/snapshot
1,Alabama,AL,36436,Clarke,Dickinson,https://www.countyhealthrankings.org/app/alabama/2021/rankings/clarke/county/outcomes/overall/snapshot
1,Alabama,AL,36505,Mobile,Axis,https://www.countyhealthrankings.org/app/alabama/2021/rankings/mobile/county/outcomes/overall/snapshot
1,Alabama,AL,36507,Baldwin,Bay minette,https://www.countyhealthrankings.org/app/alabama/2021/rankings/baldwin/county/outcomes/overall/snapshot
1,Alabama,AL,36513,Washington,Calvert,https://www.countyhealthrankings.org/app/alabama/2021/rankings/washington/county/outcomes/overall/snapshot
1,Alabama,AL,36701,Dallas,Selma,https://www.countyhealthrankings.org/app/alabama/2021/rankings/dallas/county/outcomes/overall/snapshot
1,Alabama,AL,36732,Marengo,Demopolis,https://www.countyhealthrankings.org/app/alabama/2021/rankings/marengo/county/outcomes/overall/snapshot
1,Alabama,AL,36756,Perry,Marion,https://www.countyhealthrankings.org/app/alabama/2021/rankings/perry/county/outcomes/overall/snapshot
1,Alabama,AL,36801,Lee,Opelika,https://www.countyhealthrankings.org/app/alabama/2021/rankings/lee/county/outcomes/overall/snapshot
