state_fips,state,state_abbr,zipcode,county,city,County %,countyPop,statePop,pofHealth %,obesity %,crimes,unemployment %,preDeath
1,Alabama,AL,35004,St. Clair,Acmar,1.826%,89512,4903185,21,37,299,2.7,9200
1,Alabama,AL,35005,Jefferson,Adamsville,13.432%,658573,4903185,20,35,873,2.9,11100
1,Alabama,AL,35007,Shelby,Keystone,4.440%,217702,4903185,15,38,264,2.2,5900
1,Alabama,AL,35010,Tallapoosa,New site,0.823%,40367,4903185,25,35,639,3,10200
1,Alabama,AL,35014,Talladega,Alpine,1.631%,79978,4903185,27,39,469,3.4,12000
1,Alabama,AL,35016,Marshall,Arab,1.974%,96774,4903185,24,37,286,2.5,9600
1,Alabama,AL,35019,Cullman,Baileyton,1.708%,83768,4903185,22,36,129,2.6,10100
1,Alabama,AL,35031,Blount,Blountsville,1.179%,57826,4903185,22,33,483,2.7,11100
1,Alabama,AL,35034,Bibb,Brent,0.457%,22394,4903185,24,37,89,3.1,12200
1,Alabama,AL,35045,Chilton,Clanton,0.906%,44428,4903185,24,42,508,2.7,10100
1,Alabama,AL,35063,Walker,Empire,1.296%,63521,4903185,24,39,450,3.3,14800
1,Alabama,AL,35072,Coosa,Goodwater,0.217%,10663,4903185,26,45,255,3,12700
1,Alabama,AL,35082,Clay,Hollins,0.270%,13235,4903185,25,37,309,3,10800
1,Alabama,AL,35111,Tuscaloosa,Mc calla,4.270%,209355,4903185,21,36,402,2.7,8500
1,Alabama,AL,35441,Hale,Stewart,0.299%,14651,4903185,29,45,209,3.9,13700
1,Alabama,AL,35442,Pickens,Aliceville,0.406%,19930,4903185,27,39,166,3.5,8800
1,Alabama,AL,35443,Greene,Boligee,0.165%,8111,4903185,34,38,669,5.6,12900
1,Alabama,AL,35459,Sumter,Emelle,0.253%,12427,4903185,29,43,435,4.5,13400
1,Alabama,AL,35540,Winston,Addison,0.482%,23629,4903185,24,36,107,3.3,11100
1,Alabama,AL,35542,Fayette,Bankston,0.332%,16302,4903185,24,38,107,3.1,10500
1,Alabama,AL,35543,Marion,Bear creek,0.606%,29709,4903185,24,38,296,3.4,10500
1,Alabama,AL,35544,Lamar,Beaverton,0.282%,13805,4903185,25,34,162,3.1,11200
1,Alabama,AL,35571,Franklin,Hodges,0.640%,31362,4903185,26,37,264,2.8,9800
1,Alabama,AL,35601,Morgan,Decatur,2.441%,119679,4903185,20,36,181,2.6,9700
1,Alabama,AL,35610,Lauderdale,Anderson,1.891%,92729,4903185,20,32,269,3.3,8600
1,Alabama,AL,35611,Limestone,Athens,2.017%,98915,4903185,20,33,160,2.6,7400
1,Alabama,AL,35616,Colbert,Cherokee,1.127%,55241,4903185,22,37,400,3.7,10500
1,Alabama,AL,35740,Jackson,Bridgeport,1.053%,51626,4903185,25,36,317,3.3,11100
1,Alabama,AL,35741,Madison,Brownsboro,7.605%,372909,4903185,18,34,611,2.5,8100
1,Alabama,AL,35901,Etowah,Southside,2.086%,102268,4903185,22,36,604,3.3,11500
1,Alabama,AL,35959,Cherokee,Cedar bluff,0.534%,26196,4903185,23,38,330,2.9,11700
1,Alabama,AL,35961,DeKalb,Collinsville,1.459%,71513,4903185,27,30,312,2.8,10500
1,Alabama,AL,36003,Autauga,Autaugaville,1.139%,55869,4903185,20,33,272,2.7,7800
1,Alabama,AL,36005,Pike,Banks,0.675%,33114,4903185,25,38,564,3.3,10600
1,Alabama,AL,36009,Crenshaw,Brantley,0.281%,13772,4903185,25,35,332,2.8,10400
1,Alabama,AL,36013,Montgomery,Cecil,4.619%,226486,4903185,23,37,532,3.1,9500
1,Alabama,AL,36016,Barbour,Clayton,0.503%,24686,4903185,30,41,414,3.8,11500
1,Alabama,AL,36020,Elmore,Coosada,1.656%,81209,4903185,19,35,239,2.6,8100
1,Alabama,AL,36028,Covington,Dozier,0.756%,37049,4903185,23,36,331,3.4,11500
1,Alabama,AL,36029,Bullock,Fitzpatrick,0.206%,10101,4903185,31,47,311,3.6,10800
1,Alabama,AL,36030,Butler,Forest home,0.397%,19448,4903185,28,47,582,3.6,12800
1,Alabama,AL,36031,Macon,Fort davis,0.368%,18068,4903185,28,51,734,4.3,13600
1,Alabama,AL,36032,Lowndes,Fort deposit,0.198%,9726,4903185,31,44,671,5.7,16300
1,Alabama,AL,36201,Calhoun,Anniston,2.317%,113605,4903185,24,40,756,3.5,11300
1,Alabama,AL,36262,Cleburne,Fruithurst,0.304%,14910,4903185,23,34,103,3.2,11400
1,Alabama,AL,36263,Randolph,Graham,0.463%,22722,4903185,24,34,196,3,12300
1,Alabama,AL,36301,Houston,Taylor,2.159%,105882,4903185,23,39,488,3,9200
1,Alabama,AL,36310,Henry,Abbeville,0.351%,17205,4903185,23,35,197,3.6,9600
1,Alabama,AL,36311,Dale,Ariton,1.003%,49172,4903185,22,42,437,3.1,10300
1,Alabama,AL,36313,Geneva,Bellwood,0.536%,26271,4903185,26,41,414,2.9,12000
1,Alabama,AL,36323,Coffee,Elba,1.068%,52342,4903185,22,37,276,2.9,8400
1,Alabama,AL,36401,Conecuh,Evergreen,0.246%,12067,4903185,29,42,387,4,13200
1,Alabama,AL,36425,Monroe,Beatrice,0.423%,20733,4903185,28,43,492,4.9,12300
1,Alabama,AL,36426,Escambia,East brewton,0.747%,36633,4903185,28,37,446,3.5,11800
1,Alabama,AL,36435,Wilcox,Coy,0.212%,10373,4903185,32,50,645,7.1,16500
1,Alabama,AL,36436,Clarke,Dickinson,0.482%,23622,4903185,27,36,475,5.8,11300
1,Alabama,AL,36505,Mobile,Axis,8.427%,413210,4903185,21,38,548,3.7,10300
1,Alabama,AL,36507,Baldwin,Bay minette,4.553%,223234,4903185,16,30,204,2.7,7700
1,Alabama,AL,36513,Washington,Calvert,0.333%,16326,4903185,26,32,243,4.6,10100
1,Alabama,AL,36701,Dallas,Selma,0.759%,37196,4903185,30,42,925,5.5,13800
1,Alabama,AL,36732,Marengo,Demopolis,0.385%,18863,4903185,27,45,449,3.5,13500
1,Alabama,AL,36756,Perry,Marion,0.182%,8923,4903185,35,47,381,5.2,14400
1,Alabama,AL,36801,Lee,Opelika,3.356%,164542,4903185,20,31,416,2.7,7200
1,Alabama,AL,36854,Chambers,Valley,0.678%,33254,4903185,25,42,529,2.9,10400
1,Alabama,AL,36856,Russell,Fort mitchell,1.182%,57961,4903185,25,39,505,2.9,11200
1,Alabama,AL,36904,Choctaw,Butler,0.257%,12589,4903185,26,47,128,4.7,11200
4,Arizona,AZ,84536,Navajo,,1.524%,110924,7278717,27,33,281,7.3,14300
4,Arizona,AZ,85003,Maricopa,Phoenix,61.624%,4485414,7278717,18,27,409,4,6500
4,Arizona,AZ,85219,Pinal,Gold canyon,6.358%,462789,7278717,22,34,221,4.9,6900
4,Arizona,AZ,85235,Gila,Hayden,0.742%,54018,7278717,22,31,574,5.5,14200
4,Arizona,AZ,85321,Pima,Why,14.388%,1047279,7278717,18,25,470,4.4,7500
4,Arizona,AZ,85324,Yavapai,Rock springs,3.230%,235099,7278717,17,24,300,4.4,7900
4,Arizona,AZ,85325,La Paz,Bouse,0.290%,21108,7278717,26,33,264,5.8,15100
4,Arizona,AZ,85333,Yuma,Dateland,2.937%,213787,7278717,26,38,330,16.4,6300
4,Arizona,AZ,85360,Mohave,Wikieup,2.915%,212181,7278717,23,31,221,5.7,10100
4,Arizona,AZ,85530,Graham,Bylas,0.534%,38837,7278717,22,34,109,4.8,8400
4,Arizona,AZ,85533,Greenlee,Clifton,0.130%,9498,7278717,20,30,41,3.9,7000
4,Arizona,AZ,85602,Cochise,Benson,1.730%,125922,7278717,20,31,333,5.7,7600
4,Arizona,AZ,85611,Santa Cruz,Elgin,0.639%,46498,7278717,28,30,140,8.5,5600
4,Arizona,AZ,85920,Apache,Alpine,0.988%,71887,7278717,31,35,109,9.9,15500
4,Arizona,AZ,85931,Coconino,Forest lakes,1.971%,143476,7278717,18,25,357,5.5,8500
5,Arkansas,AR,38041,Mississippi,,1.347%,40651,3017804,30,43,987,5.1,14100
5,Arkansas,AR,71630,Desha,Arkansas city,0.376%,11361,3017804,33,48,730,4.5,12600
5,Arkansas,AR,71631,Bradley,Banks,0.357%,10763,3017804,29,31,261,4.1,12400
5,Arkansas,AR,71635,Ashley,North,0.651%,19657,3017804,28,42,321,5.4,10000
5,Arkansas,AR,71638,Chicot,Dermott,0.335%,10118,3017804,32,41,367,6.9,13700
5,Arkansas,AR,71643,Lincoln,Gould,0.432%,13024,3017804,29,45,155,4.4,10800
5,Arkansas,AR,71652,Cleveland,Kingsland,0.264%,7956,3017804,25,38,95,3.9,9300
5,Arkansas,AR,71655,Drew,Monticello,0.604%,18219,3017804,25,35,362,5.2,11100
5,Arkansas,AR,71701,Ouachita,East camden,0.775%,23382,3017804,29,41,620,5.2,11400
5,Arkansas,AR,71722,Nevada,Bluff city,0.273%,8252,3017804,28,43,194,4,9300
5,Arkansas,AR,71724,Union,Calion,1.282%,38682,3017804,25,35,583,5.2,12900
5,Arkansas,AR,71740,Columbia,Emerson,0.777%,23457,3017804,27,44,317,4.5,9400
