state_fips,state,state_abbr,zipcode,county,city,url,countyPop,statePop,pofHealth %,obesity %,crimes,unemployment,preDeath,<18 %,>65 %,18 - 65 %
1,Alabama,AL,36003,Autauga,Autaugaville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/autauga/county/outcomes/overall/snapshot,55869,4903185,20,33,272,2.7,7800,16,19.9,64.1
1,Alabama,AL,36507,Baldwin,Bay minette,https://www.countyhealthrankings.org/app/alabama/2021/rankings/baldwin/county/outcomes/overall/snapshot,223234,4903185,16,30,204,2.7,7700,21,8.6,70.4
1,Alabama,AL,36016,Barbour,Clayton,https://www.countyhealthrankings.org/app/alabama/2021/rankings/barbour/county/outcomes/overall/snapshot,24686,4903185,30,41,414,3.8,11500,19.7,47.8,32.5
1,Alabama,AL,35034,Bibb,Brent,https://www.countyhealthrankings.org/app/alabama/2021/rankings/bibb/county/outcomes/overall/snapshot,22394,4903185,24,37,89,3.1,12200,16.7,21.1,62.2
1,Alabama,AL,35031,Blount,Blountsville,https://www.countyhealthrankings.org/app/alabama/2021/rankings/blount/county/outcomes/overall/snapshot,57826,4903185,22,33,483,2.7,11100,18.7,1.5,79.8
1,Alabama,AL,36029,Bullock,Fitzpatrick,https://www.countyhealthrankings.org/app/alabama/2021/rankings/bullock/county/outcomes/overall/snapshot,10101,4903185,31,47,311,3.6,10800,16.9,69.1,14
1,Alabama,AL,36030,Butler,Forest home,https://www.countyhealthrankings.org/app/alabama/2021/rankings/butler/county/outcomes/overall/snapshot,19448,4903185,28,47,582,3.6,12800,20.8,44.6,34.6
1,Alabama,AL,36201,Calhoun,Anniston,https://www.countyhealthrankings.org/app/alabama/2021/rankings/calhoun/county/outcomes/overall/snapshot,113605,4903185,24,40,756,3.5,11300,18.1,21,60.9
1,Alabama,AL,36854,Chambers,Valley,https://www.countyhealthrankings.org/app/alabama/2021/rankings/chambers/county/outcomes/overall/snapshot,33254,4903185,25,42,529,2.9,10400,20.2,39.8,40
1,Alabama,AL,35959,Cherokee,Cedar bluff,https://www.countyhealthrankings.org/app/alabama/2021/rankings/cherokee/county/outcomes/overall/snapshot,26196,4903185,23,38,330,2.9,11700,23.5,4.1,72.4
